title,eventId,lat,lng,active
a0l4a0000006NKfAAM,a0l4a0000006NKfAAM,-39.550910, 174.123688,true
a0l4a0000006RWCAA2,a0l4a0000006RWCAA2,-38.689185, 176.071376,true
a0l4a0000006QRRAA2,a0l4a0000006QRRAA2,-37.673978143585785, 176.22322409540428,true
a0l4a0000006NXZAA2,a0l4a0000006NXZAA2,-37.710854952237725, 176.15152478126316,true
a0l4a0000006OyMAAU,a0l4a0000006OyMAAU,-37.67357686829962, 176.22265982164015,true
a0l4a0000006Q1yAAE,a0l4a0000006Q1yAAE,-38.14035277924268, 176.25445811133048,true
a0l4a0000006Sp4AAE,a0l4a0000006Sp4AAE,-37.73870099757525, 176.1038195083869,true
a0l4a0000006SopAAE,a0l4a0000006SopAAE,-38.68647464948843, 176.06532281197366,true
a0l4a0000006SXuAAM,a0l4a0000006SXuAAM,-35.93501809911511, 173.87742493344686,true
a0l4a0000006QSyAAM,a0l4a0000006QSyAAM,-37.70737160447246, 176.14647672692442,true
a0l4a0000006QTDAA2,a0l4a0000006QTDAA2,-37.70451889546021,176.15319463761546,true
a0l4a0000006QPVAA2,a0l4a0000006QPVAA2,-37.682077131055124, 176.16832800001407,true
a0l4a0000006QP1AAM,a0l4a0000006QP1AAM,-37.674881587012045,176.22266988519743,true
a0l4a0000006Y9EAAU,a0l4a0000006Y9EAAU,-36.84394204165378, 174.76565925548348,true
a0l4a0000006YIaAAM,a0l4a0000006YIaAAM,-43.4894639295836, 172.5472327076925,true
a0l4a0000006YHDAA2,a0l4a0000006YHDAA2,-35.53664725946573,173.3861921967765,true
a0l4a0000006YGUAA2,a0l4a0000006YGUAA2,-35.53664725946573,173.3861921967765,true
a0l4a0000006YGeAAM,a0l4a0000006YGeAAM,-35.53664725946573,173.3861921967765,true
a0l4a0000006ZL5AAM,a0l4a0000006ZL5AAM,-37.674113436476176,176.2243295802912,true
a0l4a0000006VpTAAU,a0l4a0000006VpTAAU,-36.86286489342495, 174.75669958249682,true
a0l4a0000006baKAAQ,a0l4a0000006baKAAQ,-36.86286489342495, 174.75669958249682,true
a0l4a0000006X6FAAU,a0l4a0000006X6FAAU,-36.849718170449385,17475963861112493   ,true
a0l4a0000006bVKAAY,a0l4a0000006bVKAAY,-38.70360004692749,176.10112869764,true
a0l4a0000006dwVAAQ,a0l4a0000006dwVAAQ,-36.86286489342495, 174.75669958249682,true
a0l4a0000006jZhAAI,a0l4a0000006jZhAAI,-38.11602517023455,176.2259859711393,true
a0l4a0000006jgJAAQ,a0l4a0000006jgJAAQ,-41.29232941897306,174.77645536127966,true
a0l4a0000006jpuAAA,a0l4a0000006jpuAAA,-37.679527857475044,176.1656490270016,true
a0l4a0000006jsZAAQ,a0l4a0000006jsZAAQ,-37.63690773843197,176.1829740402555,true
a0l4a0000006jmbAAA,a0l4a0000006jmbAAA,-36.823432181151354,174.61118945822034,true
a0l4a0000006jj8AAA,a0l4a0000006jj8AAA,-36.823432181151354,174.61118945822034,true
a0l4a0000006jlEAAQ,a0l4a0000006jlEAAQ,-36.823432181151354,174.61118945822034,true
a0l4a0000006n9fAAA,a0l4a0000006n9fAAA,-39.47954129434454,175.669459569513,true
a0l4a0000006nBqAAI,a0l4a0000006nBqAAI,-40.348771995369354,175.62327494840014,true
a0l4a0000006nAxAAI,a0l4a0000006nAxAAI,-41.20990670954692,17490620871204248,true
a0l4a0000006n91AAA,a0l4a0000006n91AAA,-35.22065780052977,174.23203990272302,true
a0l4a0000006nAYAAY,a0l4a0000006nAYAAY,-41.209882137630295,174.90678119833257,true
a0l4a0000006nQMAAY,a0l4a0000006nQMAAY,-41.2099528231171,174.9064340705554,true
a0l4a0000006ofvAAA,a0l4a0000006ofvAAA,-41.056165324209765,1751939286846638,true
a0l4a0000006oflAAA,a0l4a0000006oflAAA,-41.30529412836727,174.76387535712954,true
a0l4a0000006nNhAAI,a0l4a0000006nNhAAI,-43.533512171304174,1726362027458978,true
a0l4a0000006q05AAA,a0l4a0000006q05AAA,-41.12308815769014,1750727367251512,true
a0l4a0000006q2fAAA,a0l4a0000006q2fAAA,-41.07351949773043, 175.46861289752854,true
a0l4a0000006q05AAA,a0l4a0000006q05AAA,-41.12311036485671, 175.07273672636953,true
a0l4a0000006q2fAAA,a0l4a0000006q2fAAA,-41.07355993686617, 175.4686880000451,true
a0l4a0000006qv0AAA,a0l4a0000006qv0AAA,-41.07355993686617, 175.4686880000451,true
a0l4a0000006rG8AAI,a0l4a0000006rG8AAI,-36.86142894389722, 174.8219615707581,true
a0l4a0000006rGDAAY,a0l4a0000006rGDAAY,-36.86142894389722, 174.8219615707581,true
a0l4a0000006sLNAAY,a0l4a0000006sLNAAY,-39.61187228848619, 176.8337853561341,true